,time,open,close,high,low
822,2024-12-25T21:57:12.245Z,1.01155,1.01155,1.01155,1.01155
823,2024-12-25T21:57:12.836Z,1.01155,1.01155,1.01155,1.01155
824,2024-12-25T21:57:13.336Z,1.01156,1.01156,1.01156,1.01156
825,2024-12-25T21:57:13.850Z,1.01152,1.01152,1.01152,1.01152
826,2024-12-25T21:57:14.333Z,1.0115,1.0115,1.0115,1.0115
827,2024-12-25T21:57:14.834Z,1.0115,1.0115,1.0115,1.0115
828,2024-12-25T21:57:15.246Z,1.0115,1.0115,1.0115,1.0115
829,2024-12-25T21:57:15.838Z,1.01148,1.01148,1.01148,1.01148
830,2024-12-25T21:57:16.339Z,1.01149,1.01149,1.01149,1.01149
831,2024-12-25T21:57:16.837Z,1.01149,1.01149,1.01149,1.01149
832,2024-12-25T21:57:17.047Z,1.01149,1.01149,1.01149,1.01149
833,2024-12-25T21:57:17.340Z,1.01148,1.01148,1.01148,1.01148
834,2024-12-25T21:57:17.853Z,1.01151,1.01151,1.01151,1.01151
835,2024-12-25T21:57:18.247Z,1.01151,1.01151,1.01151,1.01151
836,2024-12-25T21:57:18.853Z,1.01154,1.01154,1.01154,1.01154
837,2024-12-25T21:57:19.367Z,1.01153,1.01153,1.01153,1.01153
838,2024-12-25T21:57:19.869Z,1.01154,1.01154,1.01154,1.01154
839,2024-12-25T21:57:20.355Z,1.01156,1.01156,1.01156,1.01156
840,2024-12-25T21:57:20.858Z,1.01156,1.01156,1.01156,1.01156
841,2024-12-25T21:57:21.248Z,1.01156,1.01156,1.01156,1.01156
842,2024-12-25T21:57:21.859Z,1.01152,1.01152,1.01152,1.01152
843,2024-12-25T21:57:22.356Z,1.01154,1.01154,1.01154,1.01154
844,2024-12-25T21:57:22.859Z,1.01153,1.01153,1.01153,1.01153
845,2024-12-25T21:57:23.372Z,1.01155,1.01155,1.01155,1.01155
846,2024-12-25T21:57:23.857Z,1.01155,1.01155,1.01155,1.01155
847,2024-12-25T21:57:24.249Z,1.01155,1.01155,1.01155,1.01155
848,2024-12-25T21:57:24.857Z,1.01154,1.01154,1.01154,1.01154
849,2024-12-25T21:57:25.362Z,1.01152,1.01152,1.01152,1.01152
850,2024-12-25T21:57:25.878Z,1.01154,1.01154,1.01154,1.01154
851,2024-12-25T21:57:26.376Z,1.01152,1.01152,1.01152,1.01152
852,2024-12-25T21:57:26.859Z,1.01155,1.01155,1.01155,1.01155
853,2024-12-25T21:57:27.248Z,1.01155,1.01155,1.01155,1.01155
854,2024-12-25T21:57:27.862Z,1.01154,1.01154,1.01154,1.01154
855,2024-12-25T21:57:28.362Z,1.01155,1.01155,1.01155,1.01155
856,2024-12-25T21:57:28.859Z,1.01152,1.01152,1.01152,1.01152
857,2024-12-25T21:57:29.362Z,1.01151,1.01151,1.01151,1.01151
858,2024-12-25T21:57:29.862Z,1.01142,1.01142,1.01142,1.01142
859,2024-12-25T21:57:30.249Z,1.01142,1.01142,1.01142,1.01142
860,2024-12-25T21:57:30.865Z,1.01141,1.01141,1.01141,1.01141
861,2024-12-25T21:57:31.366Z,1.01143,1.01143,1.01143,1.01143
862,2024-12-25T21:57:31.867Z,1.01144,1.01144,1.01144,1.01144
863,2024-12-25T21:57:32.380Z,1.01147,1.01147,1.01147,1.01147
864,2024-12-25T21:57:32.867Z,1.01146,1.01146,1.01146,1.01146
865,2024-12-25T21:57:33.250Z,1.01146,1.01146,1.01146,1.01146
866,2024-12-25T21:57:33.867Z,1.01145,1.01145,1.01145,1.01145
867,2024-12-25T21:57:34.363Z,1.01149,1.01149,1.01149,1.01149
868,2024-12-25T21:57:34.867Z,1.0115,1.0115,1.0115,1.0115
869,2024-12-25T21:57:35.366Z,1.0115,1.0115,1.0115,1.0115
870,2024-12-25T21:57:35.871Z,1.01151,1.01151,1.01151,1.01151
871,2024-12-25T21:57:36.252Z,1.01151,1.01151,1.01151,1.01151
872,2024-12-25T21:57:36.869Z,1.01155,1.01155,1.01155,1.01155
873,2024-12-25T21:57:37.371Z,1.01154,1.01154,1.01154,1.01154
874,2024-12-25T21:57:37.870Z,1.01153,1.01153,1.01153,1.01153
875,2024-12-25T21:57:38.366Z,1.01154,1.01154,1.01154,1.01154
876,2024-12-25T21:57:38.867Z,1.01152,1.01152,1.01152,1.01152
877,2024-12-25T21:57:39.252Z,1.01152,1.01152,1.01152,1.01152
878,2024-12-25T21:57:39.902Z,1.01153,1.01153,1.01153,1.01153
879,2024-12-25T21:57:40.402Z,1.01154,1.01154,1.01154,1.01154
880,2024-12-25T21:57:40.885Z,1.01155,1.01155,1.01155,1.01155
881,2024-12-25T21:57:41.390Z,1.01155,1.01155,1.01155,1.01155
882,2024-12-25T21:57:41.890Z,1.01157,1.01157,1.01157,1.01157
883,2024-12-25T21:57:42.253Z,1.01157,1.01157,1.01157,1.01157
884,2024-12-25T21:57:42.890Z,1.01162,1.01162,1.01162,1.01162
885,2024-12-25T21:57:43.390Z,1.01161,1.01161,1.01161,1.01161
886,2024-12-25T21:57:43.887Z,1.01165,1.01165,1.01165,1.01165
887,2024-12-25T21:57:44.389Z,1.01164,1.01164,1.01164,1.01164
888,2024-12-25T21:57:44.891Z,1.01167,1.01167,1.01167,1.01167
889,2024-12-25T21:57:45.254Z,1.01167,1.01167,1.01167,1.01167
890,2024-12-25T21:57:45.890Z,1.01171,1.01171,1.01171,1.01171
891,2024-12-25T21:57:46.392Z,1.01167,1.01167,1.01167,1.01167
892,2024-12-25T21:57:46.893Z,1.01165,1.01165,1.01165,1.01165
893,2024-12-25T21:57:47.393Z,1.01166,1.01166,1.01166,1.01166
894,2024-12-25T21:57:47.893Z,1.01168,1.01168,1.01168,1.01168
895,2024-12-25T21:57:48.256Z,1.01168,1.01168,1.01168,1.01168
896,2024-12-25T21:57:48.890Z,1.01163,1.01163,1.01163,1.01163
897,2024-12-25T21:57:49.393Z,1.01165,1.01165,1.01165,1.01165
898,2024-12-25T21:57:49.894Z,1.01165,1.01165,1.01165,1.01165
899,2024-12-25T21:57:50.396Z,1.01166,1.01166,1.01166,1.01166
900,2024-12-25T21:57:50.892Z,1.01169,1.01169,1.01169,1.01169
901,2024-12-25T21:57:51.258Z,1.01169,1.01169,1.01169,1.01169
902,2024-12-25T21:57:51.897Z,1.0117,1.0117,1.0117,1.0117
903,2024-12-25T21:57:52.398Z,1.01169,1.01169,1.01169,1.01169
904,2024-12-25T21:57:52.897Z,1.01171,1.01171,1.01171,1.01171
